iter	Passed	Remaining
250	346	1033
251	347	1030
252	347	1026
253	348	1023
254	348	1019
255	349	1015
256	350	1012
257	350	1009
258	351	1005
259	352	1002
260	352	998
261	353	995
262	353	991
263	354	988
264	355	985
265	356	982
266	356	979
267	357	976
268	357	972
269	358	969
270	359	966
271	359	963
272	360	959
273	361	956
274	361	953
275	362	950
276	363	947
277	363	944
278	364	941
279	364	938
280	365	935
281	366	932
282	366	929
283	367	926
284	368	924
285	369	921
286	369	918
287	370	915
288	371	912
289	371	910
290	372	907
291	373	904
292	373	902
293	374	899
294	375	896
295	375	893
296	376	891
297	377	888
298	377	885
299	378	882
300	379	880
301	379	877
302	380	874
303	380	872
304	381	869
305	382	866
306	382	864
307	383	861
308	384	858
309	384	856
310	385	853
311	386	851
312	386	848
313	387	845
314	387	843
315	388	840
316	389	838
317	389	835
318	390	833
319	390	830
320	391	828
321	392	825
322	392	823
323	393	820
324	394	818
325	394	815
326	395	813
327	395	811
328	396	808
329	397	806
330	397	803
331	398	801
332	398	799
333	399	796
334	400	794
335	400	792
336	401	789
337	402	787
338	402	785
339	403	783
340	404	780
341	404	778
342	405	776
343	405	774
344	406	771
345	407	769
346	407	767
347	408	765
348	409	763
349	409	760
350	410	758
351	410	756
352	411	754
353	412	752
354	412	750
355	413	747
356	414	745
357	414	743
358	415	741
359	415	739
360	416	737
361	417	735
362	417	733
363	418	731
364	419	729
365	419	727
366	420	724
367	420	722
368	421	720
369	422	718
370	422	716
371	423	715
372	424	713
373	424	711
374	425	709
375	426	707
376	426	705
377	427	703
378	427	701
379	428	699
380	429	697
381	429	695
382	430	693
383	431	691
384	431	689
385	432	687
386	432	685
387	433	683
388	434	681
389	434	680
390	435	678
391	436	676
392	436	674
393	437	672
394	437	670
395	438	668
396	439	667
397	439	665
398	440	663
399	441	661
400	441	659
401	442	658
402	443	656
403	443	654
404	444	652
405	444	650
406	445	649
407	446	647
408	446	645
409	447	643
410	448	642
411	448	640
412	449	638
413	449	636
414	450	635
415	451	633
416	451	631
417	452	630
418	453	628
419	453	626
420	454	624
421	454	623
422	455	621
423	456	619
424	456	618
425	457	616
426	458	614
427	458	613
428	459	611
429	459	609
430	460	607
431	461	606
432	461	604
433	462	603
434	463	601
435	463	599
436	464	598
437	464	596
438	465	594
439	466	593
440	466	591
441	467	590
442	468	588
443	468	586
444	469	585
445	469	583
446	470	582
447	471	580
448	471	579
449	472	577
450	473	575
451	473	574
452	474	572
453	474	571
454	475	569
455	476	568
456	476	566
457	477	564
458	478	563
459	478	561
460	479	560
461	479	558
462	480	557
463	481	555
464	481	554
465	482	552
466	482	551
467	483	549
468	484	548
469	484	546
470	485	545
471	486	543
472	486	542
473	487	540
474	487	539
475	488	537
476	489	536
477	489	534
478	490	533
479	491	531
480	491	530
481	492	529
482	492	527
483	493	526
484	494	524
485	494	523
486	495	521
487	495	520
488	496	518
489	497	517
490	497	516
491	498	514
492	498	513
493	499	511
494	500	510
495	500	509
496	501	507
497	502	506
498	502	504
499	503	503
500	504	502
501	504	500
502	505	499
503	506	498
504	506	496
505	507	495
506	508	493
507	508	492
508	509	491
509	509	489
510	510	488
511	511	487
512	511	485
513	512	484
514	513	483
515	513	481
516	514	480
517	514	479
518	515	477
519	516	476
520	516	475
521	517	473
522	518	472
523	518	471
524	519	469
525	519	468
526	520	467
527	521	465
528	521	464
529	522	463
530	523	461
531	523	460
532	524	459
533	524	458
534	525	456
535	526	455
536	526	454
537	527	452
538	528	451
539	528	450
540	529	449
541	529	447
542	530	446
543	531	445
544	531	443
545	532	442
546	532	441
547	533	440
548	534	438
549	534	437
550	535	436
551	536	435
552	536	433
553	537	432
554	537	431
555	538	430
556	539	428
557	539	427
558	540	426
559	541	425
560	541	423
561	542	422
562	542	421
563	543	420
564	544	418
565	544	417
566	545	416
567	545	415
568	546	414
569	547	412
570	547	411
571	548	410
572	549	409
573	549	407
574	550	406
575	550	405
576	551	404
577	552	403
578	552	401
579	553	400
580	554	399
581	554	398
582	555	397
583	555	396
584	556	394
585	557	393
586	557	392
587	558	391
588	559	390
589	559	389
590	560	387
591	561	386
592	561	385
593	562	384
594	562	383
595	563	382
596	564	380
597	564	379
598	565	378
599	566	377
600	566	376
601	567	375
602	568	373
603	568	372
604	569	371
605	569	370
606	570	369
607	571	368
608	571	367
609	572	365
610	573	364
611	573	363
612	574	362
613	575	361
614	575	360
615	576	359
616	576	358
617	577	357
618	578	355
619	578	354
620	579	353
621	580	352
622	580	351
623	581	350
624	582	349
625	582	348
626	583	346
627	583	345
628	584	344
629	585	343
630	585	342
631	586	341
632	586	340
633	587	339
634	588	338
635	588	337
636	589	335
637	590	334
638	590	333
639	591	332
640	591	331
641	592	330
642	593	329
643	593	328
644	594	327
645	595	326
646	595	324
647	596	323
648	596	322
649	597	321
650	598	320
651	598	319
652	599	318
653	600	317
654	600	316
655	601	315
656	601	314
657	602	313
658	603	312
659	603	311
660	604	310
661	605	308
662	605	307
663	606	306
664	606	305
665	607	304
666	608	303
667	608	302
668	609	301
669	610	300
670	610	299
671	611	298
672	612	297
673	612	296
674	613	295
675	613	294
676	614	293
677	615	292
678	615	291
679	616	290
680	617	289
681	617	288
682	618	286
683	618	285
684	619	284
685	620	283
686	620	282
687	621	281
688	622	280
689	622	279
690	623	278
691	623	277
692	624	276
693	625	275
694	625	274
695	626	273
696	627	272
697	627	271
698	628	270
699	629	269
700	629	268
701	630	267
702	630	266
703	631	265
704	632	264
705	632	263
706	633	262
707	633	261
708	634	260
709	635	259
710	635	258
711	636	257
712	636	256
713	637	255
714	638	254
715	638	253
716	639	252
717	640	251
718	640	250
719	641	249
720	642	248
721	642	247
722	643	246
723	643	245
724	644	244
725	645	243
726	645	242
727	646	241
728	647	240
729	647	239
730	648	238
731	648	237
732	649	236
733	650	235
734	650	234
735	651	233
736	652	232
737	652	231
738	653	230
739	654	229
740	654	228
741	655	227
742	656	226
743	656	226
744	657	225
745	658	224
746	658	223
747	659	222
748	660	221
749	660	220
750	661	219
751	662	218
752	662	217
753	663	216
754	663	215
755	664	214
756	665	213
757	665	212
758	666	211
759	667	210
760	667	209
761	668	208
762	668	207
763	669	206
764	670	205
765	670	204
766	671	203
767	672	203
768	672	202
769	673	201
770	673	200
771	674	199
772	675	198
773	675	197
774	676	196
775	677	195
776	677	194
777	678	193
778	678	192
779	679	191
780	680	190
781	680	189
782	681	188
783	682	187
784	682	186
785	683	186
786	683	185
787	684	184
788	685	183
789	685	182
790	686	181
791	687	180
792	687	179
793	688	178
794	688	177
795	689	176
796	690	175
797	690	174
798	691	173
799	692	173
800	692	172
801	693	171
802	693	170
803	694	169
804	695	168
805	696	167
806	696	166
807	697	165
808	698	164
809	698	163
810	699	162
811	700	162
812	700	161
813	701	160
814	701	159
815	702	158
816	703	157
817	703	156
818	704	155
819	704	154
820	705	153
821	706	152
822	706	152
823	707	151
824	708	150
825	708	149
826	709	148
827	710	147
828	710	146
829	711	145
830	712	144
831	712	143
832	713	143
833	714	142
834	714	141
835	715	140
836	716	139
837	716	138
838	717	137
839	717	136
840	718	135
841	719	134
842	719	134
843	720	133
844	721	132
845	721	131
846	722	130
847	723	129
848	723	128
849	724	127
850	724	126
851	725	126
852	726	125
853	726	124
854	727	123
855	728	122
856	728	121
857	729	120
858	730	119
859	730	118
860	731	118
861	731	117
862	732	116
863	733	115
864	733	114
865	734	113
866	735	112
867	735	111
868	736	111
869	737	110
870	737	109
871	738	108
872	738	107
873	739	106
874	740	105
875	740	104
876	741	103
877	742	103
878	742	102
879	743	101
880	744	100
881	744	99
882	745	98
883	745	97
884	746	97
885	747	96
886	747	95
887	748	94
888	749	93
889	749	92
890	750	91
891	751	90
892	751	90
893	752	89
894	752	88
895	753	87
896	754	86
897	754	85
898	755	84
899	756	84
900	756	83
901	757	82
902	758	81
903	758	80
904	759	79
905	759	78
906	760	77
907	761	77
908	761	76
909	762	75
910	763	74
911	763	73
912	764	72
913	765	71
914	765	71
915	766	70
916	767	69
917	767	68
918	768	67
919	768	66
920	769	66
921	770	65
922	770	64
923	771	63
924	772	62
925	772	61
926	773	60
927	773	60
928	774	59
929	775	58
930	775	57
931	776	56
932	777	55
933	777	54
934	778	54
935	778	53
936	779	52
937	780	51
938	780	50
939	781	49
940	781	49
941	782	48
942	783	47
943	784	46
944	784	45
945	785	44
946	786	43
947	786	43
948	787	42
949	788	41
950	788	40
951	789	39
952	790	38
953	790	38
954	791	37
955	792	36
956	792	35
957	793	34
958	793	33
959	794	33
960	795	32
961	796	31
962	796	30
963	797	29
964	798	28
965	798	28
966	799	27
967	799	26
968	800	25
969	801	24
970	801	23
971	802	23
972	803	22
973	803	21
974	804	20
975	805	19
976	805	18
977	806	18
978	807	17
979	807	16
980	808	15
981	808	14
982	809	14
983	810	13
984	810	12
985	811	11
986	812	10
987	812	9
988	813	9
989	814	8
990	814	7
991	815	6
992	815	5
993	816	4
994	817	4
995	817	3
996	818	2
997	819	1
998	819	0
999	820	0
